atomic_number,symbol,name,category,phase,source_page,image_url,original_file,retouched_file,status,description,attribution,license,width,height,license_url,retouch_method,sha256_original,retouched_width,retouched_height,retrieved_date
1,H,Hydrogen,diatomic nonmetal,Gas,https://images-of-elements.com/hydrogen.php,https://images-of-elements.com/hydrogen.jpg,originals/001_H_Hydrogen.jpg,photos/001_H_Hydrogen.png,gas_discharge_photo,Electrically excited hydrogen in a sealed vial; glow is not its ordinary appearance.,Chemical Elements — A Virtual Museum / images-of-elements.com,CC BY 3.0,1108,1108,https://creativecommons.org/licenses/by/3.0/,AI-assisted background replacement; requested light neutral gray #F3F4F4. Not pixel-preserving; consult original for scientific details.,cfc4984e4ef4c4b0bac6d7e6c2a5b566ace851aa91eccebcdc32537e25dc77ea,1254,1254,2026-09-05
2,He,Helium,noble gas,Gas,https://images-of-elements.com/helium.php,https://images-of-elements.com/helium.jpg,originals/002_He_Helium.jpg,photos/002_He_Helium.png,gas_discharge_photo,Electrically excited helium in a sealed vial; glow is not its ordinary appearance.,Chemical Elements — A Virtual Museum / images-of-elements.com,CC BY 3.0,1092,1092,https://creativecommons.org/licenses/by/3.0/,AI-assisted background replacement; requested light neutral gray #F3F4F4. Not pixel-preserving; consult original for scientific details.,1bd7a6e49039d7ff37e788c52c0a212a66e1d96e2504e029556e1959055a171d,1254,1254,2026-09-05
3,Li,Lithium,alkali metal,Solid,https://images-of-elements.com/lithium.php,https://images-of-elements.com/lithium.jpg,originals/003_Li_Lithium.jpg,photos/003_Li_Lithium.png,specimen_photo,Lithium,Chemical Elements — A Virtual Museum / images-of-elements.com,CC BY 3.0,1344,1344,https://creativecommons.org/licenses/by/3.0/,AI-assisted background replacement; requested light neutral gray #F3F4F4. Not pixel-preserving; consult original for scientific details.,0b08869334003f61d6910bd6cfde9ce4892400cbedab6e93c34676eeded21ad3,1254,1254,2026-09-05
4,Be,Beryllium,alkaline earth metal,Solid,https://images-of-elements.com/beryllium.php,https://images-of-elements.com/beryllium.jpg,originals/004_Be_Beryllium.jpg,photos/004_Be_Beryllium.png,specimen_photo,Beryllium,Chemical Elements — A Virtual Museum / images-of-elements.com,CC BY 3.0,856,856,https://creativecommons.org/licenses/by/3.0/,AI-assisted background replacement; requested light neutral gray #F3F4F4. Not pixel-preserving; consult original for scientific details.,d06080f615c022f04965a0b4612ae7c8c62ab2f395d2e0e7a65af160318d3c8f,1254,1254,2026-09-05
5,B,Boron,metalloid,Solid,https://images-of-elements.com/boron.php,https://images-of-elements.com/boron.jpg,originals/005_B_Boron.jpg,photos/005_B_Boron.png,specimen_photo,Boron front,Chemical Elements — A Virtual Museum / images-of-elements.com,CC BY 3.0,1441,1441,https://creativecommons.org/licenses/by/3.0/,AI-assisted background replacement; requested light neutral gray #F3F4F4. Not pixel-preserving; consult original for scientific details.,67d3e8eca1ce90a4fe80217fc4ed732744919f8c6ceb67357070a1dc42f92fb2,1254,1254,2026-09-05
6,C,Carbon,polyatomic nonmetal,Solid,https://images-of-elements.com/carbon.php,https://images-of-elements.com/carbon.jpg,originals/006_C_Carbon.jpg,photos/006_C_Carbon.png,specimen_photo,Carbon as graphite bar.,Chemical Elements — A Virtual Museum / images-of-elements.com,CC BY 3.0,1124,1124,https://creativecommons.org/licenses/by/3.0/,AI-assisted background replacement; requested light neutral gray #F3F4F4. Not pixel-preserving; consult original for scientific details.,21b4bcab543cb6c9b1739a5257c96080919fb71f21268bf3404d86d4f0f2106e,1254,1254,2026-09-05
7,N,Nitrogen,diatomic nonmetal,Gas,https://images-of-elements.com/nitrogen.php,https://images-of-elements.com/nitrogen.jpg,originals/007_N_Nitrogen.jpg,photos/007_N_Nitrogen.png,gas_discharge_photo,Electrically excited nitrogen in a sealed vial; glow is not its ordinary appearance.,Chemical Elements — A Virtual Museum / images-of-elements.com,CC BY 3.0,1080,1080,https://creativecommons.org/licenses/by/3.0/,AI-assisted background replacement; requested light neutral gray #F3F4F4. Not pixel-preserving; consult original for scientific details.,0bc92b744b456d19929323b7317f740bb5b2bc3a6ea9c5ae43eed4bd8e9367b8,1254,1254,2026-09-05
8,O,Oxygen,diatomic nonmetal,Gas,https://images-of-elements.com/oxygen.php,https://images-of-elements.com/oxygen.jpg,originals/008_O_Oxygen.jpg,photos/008_O_Oxygen.png,gas_discharge_photo,Electrically excited oxygen in a sealed vial; glow is not its ordinary appearance.,Chemical Elements — A Virtual Museum / images-of-elements.com,CC BY 3.0,1036,1036,https://creativecommons.org/licenses/by/3.0/,AI-assisted background replacement; requested light neutral gray #F3F4F4. Not pixel-preserving; consult original for scientific details.,e8344628d2a8ac7b84986d5257aef27a185e3f9ae06d1ed53c9f915aa96261a6,1254,1254,2026-09-05
9,F,Fluorine,diatomic nonmetal,Gas,https://images-of-elements.com/fluorine.php,,,,no_sample_photo,"Source shows a compound or application, not a visible elemental specimen; excluded.",,,0,0,,,,0,0,2026-09-05
10,Ne,Neon,noble gas,Gas,https://images-of-elements.com/neon.php,https://images-of-elements.com/neon.jpg,originals/010_Ne_Neon.jpg,photos/010_Ne_Neon.png,gas_discharge_photo,Electrically excited neon in a sealed vial; glow is not its ordinary appearance.,Chemical Elements — A Virtual Museum / images-of-elements.com,CC BY 3.0,1216,1216,https://creativecommons.org/licenses/by/3.0/,AI-assisted background replacement; requested light neutral gray #F3F4F4. Not pixel-preserving; consult original for scientific details.,3b0dc368680841beeb010e592bf844889f9dc4c1a3b07fb66ca6a72a5e53b44d,1254,1254,2026-09-05
11,Na,Sodium,alkali metal,Solid,https://images-of-elements.com/sodium.php,https://images-of-elements.com/sodium.jpg,originals/011_Na_Sodium.jpg,photos/011_Na_Sodium.png,specimen_photo,Sodium,Chemical Elements — A Virtual Museum / images-of-elements.com,CC BY 3.0,870,870,https://creativecommons.org/licenses/by/3.0/,AI-assisted background replacement; requested light neutral gray #F3F4F4. Not pixel-preserving; consult original for scientific details.,f600b743c4301d2dfb5035da1910184fc0b8ce27a2fda44b76915f57c8a74f67,1254,1254,2026-09-05
12,Mg,Magnesium,alkaline earth metal,Solid,https://images-of-elements.com/magnesium.php,https://images-of-elements.com/magnesium.jpg,originals/012_Mg_Magnesium.jpg,photos/012_Mg_Magnesium.png,specimen_photo,Magnesium front,Chemical Elements — A Virtual Museum / images-of-elements.com,CC BY 3.0,1424,1424,https://creativecommons.org/licenses/by/3.0/,AI-assisted background replacement; requested light neutral gray #F3F4F4. Not pixel-preserving; consult original for scientific details.,e8d3899739931e9142762bb4836b46971878f5460ec7457d77de859ecc884cfb,1254,1254,2026-09-05
13,Al,Aluminium,post-transition metal,Solid,https://images-of-elements.com/aluminium.php,https://images-of-elements.com/aluminium.jpg,originals/013_Al_Aluminium.jpg,photos/013_Al_Aluminium.png,specimen_photo,Aluminium,Chemical Elements — A Virtual Museum / images-of-elements.com,CC BY 3.0,1560,1560,https://creativecommons.org/licenses/by/3.0/,AI-assisted background replacement; requested light neutral gray #F3F4F4. Not pixel-preserving; consult original for scientific details.,2ea0da0333cc591803800b7ad8db332e94d74547e761d42a3fb035bba69c0083,1254,1254,2026-09-05
14,Si,Silicon,metalloid,Solid,https://images-of-elements.com/silicon.php,https://images-of-elements.com/silicon.jpg,originals/014_Si_Silicon.jpg,photos/014_Si_Silicon.png,specimen_photo,Piece of silicon,Chemical Elements — A Virtual Museum / images-of-elements.com,CC BY 3.0,948,948,https://creativecommons.org/licenses/by/3.0/,AI-assisted background replacement; requested light neutral gray #F3F4F4. Not pixel-preserving; consult original for scientific details.,744693255126805f28fdbe45cf70f3a0fb588a2a56ff240213c4813e8fce3f27,1254,1254,2026-09-05
15,P,Phosphorus,polyatomic nonmetal,Solid,https://images-of-elements.com/phosphorus.php,https://images-of-elements.com/phosphorus.jpg,originals/015_P_Phosphorus.jpg,photos/015_P_Phosphorus.png,specimen_photo,Purple Phosphorus,Chemical Elements — A Virtual Museum / images-of-elements.com,CC BY 3.0,1090,1090,https://creativecommons.org/licenses/by/3.0/,AI-assisted background replacement; requested light neutral gray #F3F4F4. Not pixel-preserving; consult original for scientific details.,282b2d06ecc2630b4f4de5bbef2ccf40a1b6b125a47e152a0e288db17c7e752e,1254,1254,2026-09-05
